Episode, (Transfer RGB), (Transfer RGBD)
863,5.24E-02,6.07E+00
864,7.98E-01,7.43E+00
865,7.97E-01,1.44E+01
866,1.31E+00,7.06E+00
867,1.32E-01,6.07E+00
868,1.61E-02,1.36E+01
869,1.03E-01,1.69E+01
870,1.61E-01,1.69E+01
871,1.58E+00,4.43E+00
872,1.12E-01,7.13E+00
873,7.64E-01,8.46E+00
874,2.95E-01,2.12E+00
875,1.47E+00,1.49E+00
876,1.10E+00,1.29E+00
877,1.13E+00,1.84E+00
878,1.09E+00,1.18E+00
879,1.39E-01,1.82E+00
880,1.19E+00,1.90E+00
881,1.29E+00,1.11E+00
882,1.42E+00,1.02E+00
883,3.92E-01,1.47E+00
884,1.94E-01,1.63E+00
885,1.31E+00,1.00E+00
886,2.85E+00,3.27E+00
887,1.52E-01,2.23E+00
888,9.28E-01,1.22E+00
889,4.40E-01,1.45E+00
890,6.31E-01,2.83E+00
891,5.48E-01,1.20E+00
892,3.62E-01,2.57E+00
893,1.07E-01,2.66E+00
894,1.94E-01,2.21E+00
895,1.73E-01,2.04E+00
896,1.36E-01,1.17E+00
897,9.62E-01,1.44E+00
898,1.68E+00,6.89E-01
899,9.31E-02,2.11E+00
900,2.34E+00,1.04E+00
901,1.26E-01,1.32E+00
902,2.28E-01,1.72E+00
903,2.90E-01,1.69E+00
904,1.98E+00,1.67E+00
905,9.95E-01,1.16E+00
906,8.06E-01,1.27E+00
907,1.75E+00,2.55E+00
908,4.29E-01,1.68E+00
909,7.60E-01,2.33E+00
910,3.43E-02,1.63E+00
911,1.36E-01,1.65E+00
912,1.18E+00,8.67E-01
913,2.28E+00,1.87E+00
914,6.58E-02,1.55E+00
915,2.04E+00,1.77E+00
916,2.13E-01,1.02E+00
917,1.04E+00,1.67E+00
918,2.61E-01,1.77E+00
919,1.06E+00,1.07E+00
920,2.17E-01,2.05E+00
921,1.61E+00,1.81E+00
922,1.57E+00,1.44E+00
923,1.57E+00,2.02E+00
924,1.58E+00,1.55E+00
925,1.58E+00,1.94E+00
926,3.17E-01,1.92E+00
927,1.54E+00,1.26E+00
928,8.36E-01,1.97E+00
929,3.85E-01,2.66E+00
930,1.47E+00,2.10E+00
931,1.57E+00,1.10E+00
932,1.16E-01,1.14E+00
933,1.41E+00,1.09E+00
934,1.41E+00,2.08E+00
935,6.48E-01,2.32E+00
936,9.64E-01,1.44E+00
937,2.24E-01,1.10E+00
938,1.14E+00,2.26E+00
939,4.95E-01,2.36E+00
940,1.69E+00,2.44E+00
941,4.80E+00,1.77E+00
942,1.82E+01,2.73E+00
943,1.82E+01,2.20E+00
944,1.82E+01,1.60E+00
945,1.63E+01,1.04E+01
946,1.15E+01,4.81E+00
947,1.15E+01,6.86E+00
948,1.15E+01,6.50E+00
949,1.15E+01,9.72E+00
950,7.78E+00,1.00E+01
951,3.86E+00,1.00E+01
952,3.86E+00,1.00E+01
953,4.83E+00,1.00E+01
954,4.83E+00,7.72E+00
955,4.83E+00,7.72E+00
956,4.83E+00,7.72E+00
957,1.67E+01,7.63E+00
958,1.58E+01,6.48E+00
959,1.62E+01,6.48E+00
960,1.62E+01,7.48E+00
961,6.33E+00,1.33E+01
962,6.47E+00,1.33E+01
963,6.46E+00,1.33E+01
964,6.33E+00,1.33E+01
965,1.46E+01,6.32E+00
966,1.46E+01,7.86E+00
967,1.07E+00,5.60E+00
968,2.25E+00,5.60E+00
969,2.22E+00,5.60E+00
970,2.18E+00,1.49E+01
971,2.25E+00,4.29E+00
972,8.43E+00,4.29E+00
973,4.41E-01,8.71E+00
974,4.16E+00,1.52E+01
975,5.97E+00,1.26E+01
976,1.94E-01,5.49E+00
977,1.17E+01,3.68E+00
978,1.03E+01,7.69E+00
979,1.00E+01,1.13E+01
980,1.00E+01,3.56E+00
981,1.00E+01,7.66E+00
982,1.00E+01,1.43E+01
983,1.00E+01,2.22E+00
984,1.00E+01,2.94E+00
985,8.55E+00,1.16E+01
986,7.73E+00,3.66E+00
987,7.73E+00,1.28E+01
988,7.73E+00,7.27E+00
989,1.02E+01,5.30E+00
990,4.49E+00,5.30E+00
991,3.31E+00,5.30E+00
992,3.31E+00,5.30E+00
993,3.31E+00,4.16E+00
994,3.31E+00,1.09E+01
995,2.28E+00,6.95E+00
996,3.13E-01,6.95E+00
997,1.25E+01,6.95E+00
998,1.25E+01,1.07E+01
999,1.25E+01,1.57E+01
1000,7.45E+00,1.57E+01
