Episode, (Transfer RGB), (Transfer RGBD)
199,1.02E+00,8.73E+00
200,4.15E+00,5.53E+00
201,6.24E+00,5.45E+00
202,6.13E+00,3.62E+00
203,8.45E+00,7.42E+00
204,8.45E+00,7.42E+00
205,1.05E+01,7.42E+00
206,1.05E+01,5.34E+00
207,1.18E+01,5.74E+00
208,1.18E+01,6.76E+00
209,1.18E+01,9.03E+00
210,1.04E+01,3.99E+00
211,7.02E+00,2.30E+00
212,6.78E+00,1.56E+01
213,6.08E+00,1.02E+01
214,4.59E+00,6.06E+00
215,3.81E+00,2.08E+00
216,2.59E+00,8.98E+00
217,7.42E+00,9.84E+00
218,7.42E+00,1.14E+01
219,1.90E+01,6.27E+00
220,1.90E+01,7.05E+00
221,1.90E+01,1.06E+01
222,1.46E+01,7.61E+00
223,4.56E+00,1.17E+01
224,8.33E+00,1.17E+01
225,8.33E+00,3.63E+00
226,8.33E+00,4.90E+00
227,8.50E+00,4.90E+00
228,1.23E+00,4.90E+00
229,1.46E+00,1.16E+01
230,1.85E-01,1.16E+01
231,4.94E-01,1.16E+01
232,8.80E-01,6.13E+00
233,2.38E+00,7.33E+00
234,4.93E-01,7.33E+00
235,1.23E+00,6.36E+00
236,4.40E-01,1.15E+01
237,1.75E+00,1.15E+01
238,5.17E-01,8.06E+00
239,8.84E-01,3.00E+00
240,2.47E-01,1.03E+01
241,1.77E+00,1.52E+01
242,1.05E+00,1.52E+01
243,2.01E+00,9.83E+00
244,5.23E-01,9.92E+00
245,4.39E-01,9.92E+00
246,1.04E-01,1.00E+01
247,1.75E+00,9.32E+00
248,1.45E+00,9.84E+00
249,4.17E-01,9.84E+00
250,3.46E-01,1.36E+01
251,1.84E-01,9.60E+00
252,1.34E-01,3.30E+00
253,5.47E-01,9.25E+00
254,1.50E+00,1.30E+01
255,6.07E-01,1.05E+01
256,1.43E+00,4.28E+00
257,1.79E+00,4.83E+00
258,6.37E-01,6.00E+00
259,6.30E-01,3.27E+00
260,3.69E-01,1.04E+01
261,3.37E-01,1.06E+01
262,6.87E-01,1.06E+01
263,5.74E-02,1.06E+01
264,1.74E-01,1.06E+01
265,3.58E-01,5.15E+00
266,1.55E-01,8.12E+00
267,1.46E+00,1.52E+01
268,1.29E+00,6.07E+00
269,2.44E-01,9.62E+00
270,3.79E-01,8.66E+00
271,1.14E-01,4.34E+00
272,3.81E-01,5.95E+00
273,2.06E+00,8.60E+00
274,1.61E-01,8.60E+00
275,2.93E-01,9.62E+00
276,2.81E-01,7.31E+00
277,3.07E-01,1.70E+01
278,3.51E-01,7.63E+00
