Episode, (Transfer RGB), (Transfer RGBD), (Transfer RGB)/episode, (Transfer RGBD)/episode,,,,,,Episode, (Transfer RGB)/episode, (Transfer RGBD)/episode
77,2.26E+03,3.84E+03,2.70E+01,1.30E+01,,,,,,77,27,13
78,2.29E+03,3.86E+03,2.80E+01,2.10E+01,,,,,,78,28,21
79,2.32E+03,3.87E+03,3.10E+01,1.10E+01,,,,,,79,31,11
80,2.35E+03,3.87E+03,3.30E+01,3.00E+00,,,,,,80,33,3
81,2.38E+03,3.87E+03,2.80E+01,0.00E+00,,,,,,81,28,0
82,2.41E+03,3.88E+03,3.20E+01,7.00E+00,,,,,,82,32,7
83,2.45E+03,3.90E+03,3.10E+01,2.30E+01,,,,,,83,31,23
84,2.48E+03,3.92E+03,3.60E+01,1.80E+01,,,,,,84,36,18
85,2.52E+03,3.94E+03,3.40E+01,2.20E+01,,,,,,85,34,22
86,2.56E+03,3.95E+03,4.10E+01,5.00E+00,,,,,,86,41,5
87,2.60E+03,3.95E+03,4.60E+01,4.00E+00,,,,,,87,46,4
88,2.63E+03,3.96E+03,2.80E+01,1.40E+01,,,,,,88,28,14
89,2.66E+03,3.99E+03,2.80E+01,2.60E+01,,,,,,89,28,26
90,2.69E+03,4.00E+03,2.80E+01,1.40E+01,,,,,,90,28,14
91,2.73E+03,4.03E+03,3.90E+01,2.50E+01,,,,,,91,39,25
92,2.77E+03,4.04E+03,4.20E+01,1.50E+01,,,,,,92,42,15
93,2.82E+03,4.06E+03,5.00E+01,1.90E+01,,,,,,93,50,19
94,2.86E+03,4.09E+03,4.10E+01,2.40E+01,,,,,,94,41,24
95,2.90E+03,4.11E+03,3.80E+01,2.20E+01,,,,,,95,38,22
96,2.94E+03,4.14E+03,4.40E+01,3.20E+01,,,,,,96,44,32
97,2.99E+03,4.16E+03,4.90E+01,2.20E+01,,,,,,97,49,22
98,3.03E+03,4.19E+03,4.40E+01,2.90E+01,,,,,,98,44,29
99,3.09E+03,4.23E+03,6.00E+01,4.00E+01,,,,,,99,60,40
100,3.15E+03,4.28E+03,5.30E+01,4.30E+01,,,,,,100,53,43
101,3.21E+03,4.30E+03,6.00E+01,2.30E+01,,,,,,101,60,23
102,3.26E+03,4.33E+03,5.60E+01,3.00E+01,,,,,,102,56,30
103,3.32E+03,4.35E+03,5.40E+01,2.00E+01,,,,,,103,54,20
104,3.37E+03,4.37E+03,5.70E+01,2.00E+01,,,,,,104,57,20
105,3.41E+03,4.38E+03,4.00E+01,1.50E+01,,,,,,105,40,15
106,3.46E+03,4.41E+03,4.20E+01,2.80E+01,,,,,,106,42,28
107,3.50E+03,4.43E+03,4.60E+01,2.10E+01,,,,,,107,46,21
108,3.55E+03,4.44E+03,4.90E+01,1.20E+01,,,,,,108,49,12
109,3.59E+03,4.46E+03,4.30E+01,1.80E+01,,,,,,109,43,18
110,3.64E+03,4.48E+03,4.90E+01,1.70E+01,,,,,,110,49,17
111,3.68E+03,4.50E+03,4.20E+01,1.70E+01,,,,,,111,42,17
112,3.74E+03,4.51E+03,5.60E+01,1.30E+01,,,,,,112,56,13
113,3.78E+03,4.51E+03,3.90E+01,0.00E+00,,,,,,113,39,0
114,3.83E+03,4.52E+03,5.20E+01,9.00E+00,,,,,,114,52,9
115,3.87E+03,4.54E+03,4.20E+01,1.70E+01,,,,,,115,42,17
116,3.92E+03,4.55E+03,4.60E+01,1.30E+01,,,,,,116,46,13
117,3.96E+03,4.56E+03,3.70E+01,1.20E+01,,,,,,117,37,12
118,4.01E+03,4.58E+03,5.00E+01,1.90E+01,,,,,,118,50,19
119,4.04E+03,4.59E+03,3.70E+01,1.40E+01,,,,,,119,37,14
120,4.06E+03,4.60E+03,2.00E+01,5.00E+00,,,,,,120,20,5
121,4.09E+03,4.61E+03,3.00E+01,1.60E+01,,,,,,121,30,16
122,4.13E+03,4.62E+03,3.90E+01,9.00E+00,,,,,,122,39,9
123,4.15E+03,4.65E+03,2.10E+01,2.90E+01,,,,,,123,21,29
124,4.17E+03,4.66E+03,1.60E+01,1.00E+01,,,,,,124,16,10
125,4.19E+03,4.67E+03,2.00E+01,1.10E+01,,,,,,125,20,11
126,4.22E+03,4.70E+03,3.00E+01,2.80E+01,,,,,,126,30,28
127,4.25E+03,4.72E+03,2.60E+01,1.50E+01,,,,,,127,26,15
128,4.26E+03,4.73E+03,1.30E+01,1.40E+01,,,,,,128,13,14
129,4.28E+03,4.74E+03,2.00E+01,1.30E+01,,,,,,129,20,13
130,4.29E+03,4.76E+03,1.30E+01,1.80E+01,,,,,,130,13,18
131,4.31E+03,4.79E+03,1.80E+01,2.90E+01,,,,,,131,18,29
132,4.33E+03,4.79E+03,2.10E+01,2.00E+00,,,,,,132,21,2
133,4.35E+03,4.81E+03,1.50E+01,1.70E+01,,,,,,133,15,17
134,4.37E+03,4.84E+03,2.00E+01,3.50E+01,,,,,,134,20,35
135,4.38E+03,4.88E+03,1.20E+01,3.40E+01,,,,,,135,12,34
136,4.40E+03,4.92E+03,2.50E+01,4.00E+01,,,,,,136,25,40
137,4.41E+03,4.94E+03,7.00E+00,2.20E+01,,,,,,137,7,22
138,4.43E+03,4.98E+03,1.70E+01,3.70E+01,,,,,,138,17,37
139,4.43E+03,5.00E+03,6.00E+00,1.90E+01,,,,,,139,6,19
140,4.45E+03,5.02E+03,1.50E+01,2.50E+01,,,,,,140,15,25
141,4.47E+03,5.04E+03,2.00E+01,1.60E+01,,,,,,141,20,16
142,4.49E+03,5.06E+03,2.00E+01,2.70E+01,,,,,,142,20,27
143,4.50E+03,5.08E+03,1.10E+01,1.50E+01,,,,,,143,11,15
144,4.51E+03,5.08E+03,1.30E+01,3.00E+00,,,,,,144,13,3
145,4.53E+03,5.10E+03,1.80E+01,1.50E+01,,,,,,145,18,15
