Episode, (Transfer RGB), (Transfer RGBD), (Transfer RGB)/episode, (Transfer RGBD)/episode,,,,,,Episode, (Transfer RGB)/episode, (Transfer RGBD)/episode
330,5.09E+03,8.60E+03,2.00E+00,0.00E+00,,,,,,330,2,0
331,5.10E+03,8.61E+03,1.00E+00,4.00E+00,,,,,,331,1,4
332,5.10E+03,8.62E+03,1.00E+00,7.00E+00,,,,,,332,1,7
333,5.10E+03,8.63E+03,0.00E+00,1.50E+01,,,,,,333,0,15
334,5.10E+03,8.66E+03,2.00E+00,2.60E+01,,,,,,334,2,26
335,5.10E+03,8.66E+03,0.00E+00,4.00E+00,,,,,,335,0,4
336,5.10E+03,8.66E+03,2.00E+00,0.00E+00,,,,,,336,2,0
337,5.10E+03,8.66E+03,3.00E+00,0.00E+00,,,,,,337,3,0
338,5.10E+03,8.67E+03,0.00E+00,9.00E+00,,,,,,338,0,9
339,5.10E+03,8.70E+03,0.00E+00,3.20E+01,,,,,,339,0,32
340,5.10E+03,8.71E+03,1.00E+00,1.30E+01,,,,,,340,1,13
341,5.10E+03,8.71E+03,0.00E+00,0.00E+00,,,,,,341,0,0
342,5.10E+03,8.73E+03,0.00E+00,1.40E+01,,,,,,342,0,14
343,5.10E+03,8.75E+03,0.00E+00,2.10E+01,,,,,,343,0,21
344,5.11E+03,8.77E+03,1.00E+00,2.10E+01,,,,,,344,1,21
345,5.11E+03,8.79E+03,2.00E+00,2.20E+01,,,,,,345,2,22
346,5.11E+03,8.82E+03,0.00E+00,3.10E+01,,,,,,346,0,31
347,5.11E+03,8.86E+03,3.00E+00,3.60E+01,,,,,,347,3,36
348,5.11E+03,8.89E+03,1.00E+00,3.20E+01,,,,,,348,1,32
349,5.11E+03,8.91E+03,0.00E+00,2.30E+01,,,,,,349,0,23
350,5.11E+03,8.95E+03,1.00E+00,3.50E+01,,,,,,350,1,35
351,5.11E+03,8.96E+03,0.00E+00,8.00E+00,,,,,,351,0,8
352,5.11E+03,8.97E+03,0.00E+00,1.30E+01,,,,,,352,0,13
353,5.11E+03,8.99E+03,0.00E+00,1.90E+01,,,,,,353,0,19
354,5.11E+03,9.02E+03,1.00E+00,2.80E+01,,,,,,354,1,28
355,5.11E+03,9.05E+03,1.00E+00,3.00E+01,,,,,,355,1,30
356,5.12E+03,9.05E+03,1.00E+00,3.00E+00,,,,,,356,1,3
357,5.12E+03,9.06E+03,0.00E+00,8.00E+00,,,,,,357,0,8
358,5.12E+03,9.07E+03,0.00E+00,1.00E+01,,,,,,358,0,10
359,5.12E+03,9.09E+03,2.00E+00,1.80E+01,,,,,,359,2,18
360,5.12E+03,9.11E+03,1.00E+00,2.30E+01,,,,,,360,1,23
361,5.12E+03,9.14E+03,0.00E+00,3.00E+01,,,,,,361,0,30
362,5.12E+03,9.16E+03,0.00E+00,1.70E+01,,,,,,362,0,17
363,5.12E+03,9.18E+03,0.00E+00,2.70E+01,,,,,,363,0,27
364,5.12E+03,9.20E+03,1.00E+00,1.40E+01,,,,,,364,1,14
365,5.12E+03,9.21E+03,1.00E+00,1.70E+01,,,,,,365,1,17
366,5.12E+03,9.23E+03,1.00E+00,1.20E+01,,,,,,366,1,12
367,5.12E+03,9.25E+03,0.00E+00,2.20E+01,,,,,,367,0,22
368,5.12E+03,9.27E+03,2.00E+00,2.00E+01,,,,,,368,2,20
369,5.13E+03,9.29E+03,2.00E+00,1.90E+01,,,,,,369,2,19
370,5.13E+03,9.31E+03,1.00E+00,1.80E+01,,,,,,370,1,18
371,5.13E+03,9.31E+03,0.00E+00,9.00E+00,,,,,,371,0,9
372,5.13E+03,9.33E+03,1.00E+00,1.60E+01,,,,,,372,1,16
373,5.13E+03,9.34E+03,0.00E+00,1.40E+01,,,,,,373,0,14
374,5.13E+03,9.35E+03,0.00E+00,7.00E+00,,,,,,374,0,7
375,5.13E+03,9.35E+03,0.00E+00,0.00E+00,,,,,,375,0,0
376,5.13E+03,9.35E+03,2.00E+00,0.00E+00,,,,,,376,2,0
377,5.13E+03,9.35E+03,0.00E+00,0.00E+00,,,,,,377,0,0
378,5.13E+03,9.38E+03,0.00E+00,3.00E+01,,,,,,378,0,30
379,5.13E+03,9.41E+03,1.00E+00,2.50E+01,,,,,,379,1,25
380,5.13E+03,9.45E+03,1.00E+00,4.10E+01,,,,,,380,1,41
381,5.13E+03,9.46E+03,0.00E+00,1.20E+01,,,,,,381,0,12
382,5.13E+03,9.50E+03,1.00E+00,4.00E+01,,,,,,382,1,40
383,5.13E+03,9.51E+03,0.00E+00,1.40E+01,,,,,,383,0,14
384,5.13E+03,9.53E+03,0.00E+00,1.90E+01,,,,,,384,0,19
385,5.13E+03,9.57E+03,0.00E+00,3.70E+01,,,,,,385,0,37
386,5.13E+03,9.61E+03,1.00E+00,3.90E+01,,,,,,386,1,39
387,5.14E+03,9.63E+03,7.00E+00,2.20E+01,,,,,,387,7,22
388,5.15E+03,9.65E+03,6.00E+00,2.10E+01,,,,,,388,6,21
389,5.15E+03,9.68E+03,4.00E+00,2.70E+01,,,,,,389,4,27
390,5.16E+03,9.71E+03,6.00E+00,3.10E+01,,,,,,390,6,31
391,5.16E+03,9.74E+03,3.00E+00,2.60E+01,,,,,,391,3,26
392,5.16E+03,9.77E+03,4.00E+00,3.10E+01,,,,,,392,4,31
393,5.17E+03,9.80E+03,7.00E+00,3.80E+01,,,,,,393,7,38
394,5.17E+03,9.91E+03,1.00E+00,1.05E+02,,,,,,394,1,105
395,5.18E+03,1.00E+04,5.00E+00,1.01E+02,,,,,,395,5,101
396,5.18E+03,1.01E+04,5.00E+00,1.00E+02,,,,,,396,5,100
397,5.18E+03,1.02E+04,2.00E+00,9.50E+01,,,,,,397,2,95
398,5.19E+03,1.03E+04,2.00E+00,8.60E+01,,,,,,398,2,86
399,5.19E+03,1.04E+04,3.00E+00,9.60E+01,,,,,,399,3,96
400,5.19E+03,1.05E+04,2.00E+00,8.90E+01,,,,,,400,2,89
401,5.19E+03,1.06E+04,1.00E+00,7.90E+01,,,,,,401,1,79
402,5.19E+03,1.06E+04,1.00E+00,9.30E+01,,,,,,402,1,93
403,5.19E+03,1.07E+04,0.00E+00,7.50E+01,,,,,,403,0,75
404,5.19E+03,1.08E+04,2.00E+00,8.00E+01,,,,,,404,2,80
405,5.20E+03,1.09E+04,2.00E+00,7.00E+01,,,,,,405,2,70
406,5.20E+03,1.10E+04,0.00E+00,8.00E+01,,,,,,406,0,80
407,5.20E+03,1.10E+04,2.00E+00,7.30E+01,,,,,,407,2,73
408,5.20E+03,1.11E+04,0.00E+00,6.20E+01,,,,,,408,0,62
409,5.20E+03,1.12E+04,2.00E+00,6.60E+01,,,,,,409,2,66
410,5.20E+03,1.12E+04,2.00E+00,6.30E+01,,,,,,410,2,63
411,5.20E+03,1.13E+04,1.00E+00,6.00E+01,,,,,,411,1,60
412,5.20E+03,1.13E+04,1.00E+00,5.80E+01,,,,,,412,1,58
413,5.21E+03,1.14E+04,1.00E+00,6.40E+01,,,,,,413,1,64
414,5.21E+03,1.15E+04,4.00E+00,5.80E+01,,,,,,414,4,58
415,5.21E+03,1.15E+04,4.00E+00,5.40E+01,,,,,,415,4,54
416,5.22E+03,1.16E+04,2.00E+00,4.70E+01,,,,,,416,2,47
417,5.22E+03,1.16E+04,3.00E+00,5.30E+01,,,,,,417,3,53
418,5.22E+03,1.17E+04,1.00E+00,4.70E+01,,,,,,418,1,47
419,5.22E+03,1.17E+04,0.00E+00,5.70E+01,,,,,,419,0,57
420,5.22E+03,1.18E+04,0.00E+00,5.40E+01,,,,,,420,0,54
421,5.22E+03,1.18E+04,2.00E+00,5.10E+01,,,,,,421,2,51
422,5.22E+03,1.19E+04,0.00E+00,4.80E+01,,,,,,422,0,48
423,5.22E+03,1.19E+04,0.00E+00,6.10E+01,,,,,,423,0,61
424,5.22E+03,1.20E+04,1.00E+00,4.20E+01,,,,,,424,1,42
425,5.23E+03,1.20E+04,3.00E+00,4.40E+01,,,,,,425,3,44
426,5.23E+03,1.21E+04,0.00E+00,4.50E+01,,,,,,426,0,45
427,5.23E+03,1.21E+04,1.00E+00,4.50E+01,,,,,,427,1,45
428,5.23E+03,1.22E+04,2.00E+00,5.70E+01,,,,,,428,2,57
429,5.23E+03,1.22E+04,0.00E+00,5.30E+01,,,,,,429,0,53
430,5.23E+03,1.23E+04,1.00E+00,5.30E+01,,,,,,430,1,53
431,5.23E+03,1.23E+04,3.00E+00,4.90E+01,,,,,,431,3,49
432,5.23E+03,1.24E+04,1.00E+00,4.90E+01,,,,,,432,1,49
433,5.23E+03,1.24E+04,0.00E+00,4.30E+01,,,,,,433,0,43
434,5.24E+03,1.25E+04,2.00E+00,5.50E+01,,,,,,434,2,55
435,5.24E+03,1.25E+04,1.00E+00,5.00E+01,,,,,,435,1,50
436,5.24E+03,1.26E+04,1.00E+00,4.00E+01,,,,,,436,1,40
437,5.24E+03,1.26E+04,1.00E+00,5.70E+01,,,,,,437,1,57
438,5.24E+03,1.27E+04,3.00E+00,5.20E+01,,,,,,438,3,52
439,5.24E+03,1.27E+04,0.00E+00,4.50E+01,,,,,,439,0,45
440,5.25E+03,1.28E+04,4.00E+00,5.10E+01,,,,,,440,4,51
441,5.25E+03,1.28E+04,2.00E+00,4.10E+01,,,,,,441,2,41
442,5.25E+03,1.28E+04,2.00E+00,4.60E+01,,,,,,442,2,46
443,5.25E+03,1.29E+04,4.00E+00,4.70E+01,,,,,,443,4,47
444,5.26E+03,1.29E+04,3.00E+00,4.40E+01,,,,,,444,3,44
445,5.26E+03,1.30E+04,1.00E+00,5.00E+01,,,,,,445,1,50
446,5.26E+03,1.30E+04,3.00E+00,5.40E+01,,,,,,446,3,54
447,5.26E+03,1.31E+04,4.00E+00,4.80E+01,,,,,,447,4,48
448,5.27E+03,1.31E+04,2.00E+00,4.80E+01,,,,,,448,2,48
449,5.27E+03,1.32E+04,3.00E+00,4.90E+01,,,,,,449,3,49
450,5.27E+03,1.32E+04,3.00E+00,5.50E+01,,,,,,450,3,55
451,5.27E+03,1.33E+04,2.00E+00,4.40E+01,,,,,,451,2,44
452,5.28E+03,1.33E+04,1.00E+00,5.60E+01,,,,,,452,1,56
453,5.28E+03,1.34E+04,4.00E+00,5.20E+01,,,,,,453,4,52
454,5.28E+03,1.34E+04,3.00E+00,5.40E+01,,,,,,454,3,54
455,5.28E+03,1.35E+04,2.00E+00,3.90E+01,,,,,,455,2,39
456,5.29E+03,1.35E+04,3.00E+00,4.30E+01,,,,,,456,3,43
457,5.29E+03,1.36E+04,3.00E+00,5.50E+01,,,,,,457,3,55
458,5.29E+03,1.36E+04,1.00E+00,4.70E+01,,,,,,458,1,47
459,5.30E+03,1.37E+04,5.00E+00,4.90E+01,,,,,,459,5,49
460,5.30E+03,1.37E+04,1.00E+00,4.60E+01,,,,,,460,1,46
461,5.30E+03,1.38E+04,2.00E+00,4.50E+01,,,,,,461,2,45
462,5.30E+03,1.38E+04,4.00E+00,4.40E+01,,,,,,462,4,44
463,5.31E+03,1.39E+04,2.00E+00,5.20E+01,,,,,,463,2,52
464,5.31E+03,1.39E+04,0.00E+00,4.10E+01,,,,,,464,0,41
465,5.31E+03,1.39E+04,0.00E+00,4.10E+01,,,,,,465,0,41
466,5.31E+03,1.40E+04,3.00E+00,5.20E+01,,,,,,466,3,52
467,5.31E+03,1.40E+04,2.00E+00,3.90E+01,,,,,,467,2,39
468,5.31E+03,1.41E+04,1.00E+00,3.90E+01,,,,,,468,1,39
469,5.31E+03,1.41E+04,3.00E+00,3.70E+01,,,,,,469,3,37
470,5.31E+03,1.42E+04,0.00E+00,4.30E+01,,,,,,470,0,43
471,5.31E+03,1.42E+04,0.00E+00,3.60E+01,,,,,,471,0,36
472,5.31E+03,1.42E+04,0.00E+00,3.30E+01,,,,,,472,0,33
473,5.32E+03,1.43E+04,1.00E+00,4.20E+01,,,,,,473,1,42
474,5.32E+03,1.43E+04,2.00E+00,2.10E+01,,,,,,474,2,21
475,5.32E+03,1.43E+04,0.00E+00,7.00E+00,,,,,,475,0,7
476,5.32E+03,1.43E+04,0.00E+00,1.00E+01,,,,,,476,0,10
477,5.32E+03,1.43E+04,0.00E+00,3.00E+00,,,,,,477,0,3
478,5.32E+03,1.43E+04,1.00E+00,0.00E+00,,,,,,478,1,0
479,5.32E+03,1.43E+04,1.00E+00,0.00E+00,,,,,,479,1,0
480,5.32E+03,1.43E+04,1.00E+00,0.00E+00,,,,,,480,1,0
481,5.32E+03,1.43E+04,1.00E+00,7.00E+00,,,,,,481,1,7
482,5.32E+03,1.43E+04,1.00E+00,7.00E+00,,,,,,482,1,7
483,5.32E+03,1.43E+04,1.00E+00,1.00E+00,,,,,,483,1,1
484,5.32E+03,1.43E+04,0.00E+00,5.00E+00,,,,,,484,0,5
485,5.32E+03,1.43E+04,0.00E+00,1.20E+01,,,,,,485,0,12
486,5.32E+03,1.44E+04,1.00E+00,7.00E+00,,,,,,486,1,7
487,5.32E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,487,0,0
488,5.32E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,488,0,0
489,5.32E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,489,0,0
490,5.33E+03,1.44E+04,2.00E+00,4.00E+00,,,,,,490,2,4
491,5.33E+03,1.44E+04,0.00E+00,7.00E+00,,,,,,491,0,7
492,5.33E+03,1.44E+04,1.00E+00,0.00E+00,,,,,,492,1,0
493,5.33E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,493,0,0
494,5.33E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,494,0,0
495,5.33E+03,1.44E+04,0.00E+00,7.00E+00,,,,,,495,0,7
496,5.33E+03,1.44E+04,2.00E+00,3.00E+00,,,,,,496,2,3
497,5.33E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,497,0,0
498,5.33E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,498,0,0
499,5.33E+03,1.44E+04,1.00E+00,0.00E+00,,,,,,499,1,0
500,5.33E+03,1.44E+04,2.00E+00,1.70E+01,,,,,,500,2,17
501,5.33E+03,1.44E+04,1.00E+00,6.00E+00,,,,,,501,1,6
502,5.34E+03,1.44E+04,2.00E+00,0.00E+00,,,,,,502,2,0
503,5.34E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,503,0,0
504,5.34E+03,1.44E+04,0.00E+00,0.00E+00,,,,,,504,0,0
505,5.34E+03,1.44E+04,0.00E+00,4.00E+00,,,,,,505,0,4
506,5.34E+03,1.44E+04,1.00E+00,1.30E+01,,,,,,506,1,13
507,5.34E+03,1.44E+04,0.00E+00,7.00E+00,,,,,,507,0,7
508,5.34E+03,1.44E+04,0.00E+00,1.20E+01,,,,,,508,0,12
509,5.34E+03,1.44E+04,0.00E+00,7.00E+00,,,,,,509,0,7
510,5.34E+03,1.44E+04,1.00E+00,7.00E+00,,,,,,510,1,7
511,5.34E+03,1.45E+04,2.00E+00,1.70E+01,,,,,,511,2,17
512,5.34E+03,1.45E+04,1.00E+00,1.00E+01,,,,,,512,1,10
513,5.34E+03,1.45E+04,0.00E+00,1.20E+01,,,,,,513,0,12
514,5.34E+03,1.45E+04,1.00E+00,1.10E+01,,,,,,514,1,11
515,5.34E+03,1.45E+04,0.00E+00,1.10E+01,,,,,,515,0,11
516,5.34E+03,1.45E+04,0.00E+00,1.40E+01,,,,,,516,0,14
517,5.34E+03,1.45E+04,0.00E+00,6.00E+00,,,,,,517,0,6
518,5.34E+03,1.45E+04,1.00E+00,8.00E+00,,,,,,518,1,8
519,5.34E+03,1.45E+04,0.00E+00,7.00E+00,,,,,,519,0,7
520,5.34E+03,1.46E+04,0.00E+00,1.40E+01,,,,,,520,0,14
521,5.34E+03,1.46E+04,0.00E+00,2.00E+01,,,,,,521,0,20
522,5.34E+03,1.46E+04,1.00E+00,8.00E+00,,,,,,522,1,8
523,5.34E+03,1.46E+04,1.00E+00,5.00E+00,,,,,,523,1,5
524,5.35E+03,1.46E+04,1.00E+00,0.00E+00,,,,,,524,1,0
525,5.35E+03,1.46E+04,1.00E+00,0.00E+00,,,,,,525,1,0
526,5.35E+03,1.46E+04,0.00E+00,0.00E+00,,,,,,526,0,0
527,5.35E+03,1.46E+04,0.00E+00,1.50E+01,,,,,,527,0,15
528,5.35E+03,1.46E+04,0.00E+00,5.00E+00,,,,,,528,0,5
529,5.35E+03,1.46E+04,1.00E+00,0.00E+00,,,,,,529,1,0
530,5.35E+03,1.46E+04,1.00E+00,2.10E+01,,,,,,530,1,21
531,5.35E+03,1.46E+04,0.00E+00,4.00E+00,,,,,,531,0,4
532,5.35E+03,1.46E+04,0.00E+00,0.00E+00,,,,,,532,0,0
533,5.35E+03,1.46E+04,0.00E+00,0.00E+00,,,,,,533,0,0
534,5.35E+03,1.46E+04,2.00E+00,0.00E+00,,,,,,534,2,0
535,5.35E+03,1.46E+04,3.00E+00,4.00E+00,,,,,,535,3,4
536,5.36E+03,1.46E+04,3.00E+00,0.00E+00,,,,,,536,3,0
537,5.36E+03,1.46E+04,0.00E+00,0.00E+00,,,,,,537,0,0
538,5.36E+03,1.46E+04,2.00E+00,0.00E+00,,,,,,538,2,0
539,5.36E+03,1.46E+04,1.00E+00,9.00E+00,,,,,,539,1,9
540,5.36E+03,1.47E+04,2.00E+00,1.90E+01,,,,,,540,2,19
541,5.36E+03,1.47E+04,2.00E+00,5.00E+00,,,,,,541,2,5
542,5.36E+03,1.47E+04,1.00E+00,0.00E+00,,,,,,542,1,0
543,5.37E+03,1.47E+04,2.00E+00,0.00E+00,,,,,,543,2,0
544,5.37E+03,1.47E+04,1.00E+00,0.00E+00,,,,,,544,1,0
545,5.37E+03,1.47E+04,0.00E+00,2.00E+01,,,,,,545,0,20
546,5.37E+03,1.47E+04,1.00E+00,1.40E+01,,,,,,546,1,14
547,5.37E+03,1.47E+04,1.00E+00,5.00E+00,,,,,,547,1,5
548,5.37E+03,1.47E+04,3.00E+00,1.60E+01,,,,,,548,3,16
549,5.37E+03,1.47E+04,2.00E+00,1.50E+01,,,,,,549,2,15
550,5.38E+03,1.47E+04,2.00E+00,0.00E+00,,,,,,550,2,0
551,5.38E+03,1.47E+04,3.00E+00,0.00E+00,,,,,,551,3,0
552,5.38E+03,1.47E+04,2.00E+00,0.00E+00,,,,,,552,2,0
553,5.38E+03,1.47E+04,1.00E+00,4.00E+00,,,,,,553,1,4
554,5.38E+03,1.48E+04,2.00E+00,2.20E+01,,,,,,554,2,22
555,5.39E+03,1.48E+04,2.00E+00,1.90E+01,,,,,,555,2,19
556,5.39E+03,1.48E+04,2.00E+00,1.70E+01,,,,,,556,2,17
557,5.39E+03,1.48E+04,1.00E+00,3.70E+01,,,,,,557,1,37
558,5.39E+03,1.49E+04,2.00E+00,2.70E+01,,,,,,558,2,27
559,5.39E+03,1.49E+04,2.00E+00,1.20E+01,,,,,,559,2,12
560,5.40E+03,1.49E+04,2.00E+00,2.70E+01,,,,,,560,2,27
561,5.40E+03,1.49E+04,2.00E+00,1.50E+01,,,,,,561,2,15
562,5.40E+03,1.49E+04,1.00E+00,1.10E+01,,,,,,562,1,11
563,5.40E+03,1.49E+04,1.00E+00,1.90E+01,,,,,,563,1,19
564,5.40E+03,1.50E+04,0.00E+00,1.20E+01,,,,,,564,0,12
565,5.40E+03,1.50E+04,2.00E+00,1.10E+01,,,,,,565,2,11
566,5.41E+03,1.50E+04,5.00E+00,4.60E+01,,,,,,566,5,46
567,5.41E+03,1.51E+04,2.00E+00,8.70E+01,,,,,,567,2,87
568,5.41E+03,1.52E+04,3.00E+00,7.50E+01,,,,,,568,3,75
569,5.41E+03,1.52E+04,3.00E+00,6.50E+01,,,,,,569,3,65
570,5.42E+03,1.53E+04,1.00E+00,8.00E+01,,,,,,570,1,80
571,5.42E+03,1.54E+04,2.00E+00,9.00E+01,,,,,,571,2,90
572,5.42E+03,1.55E+04,1.00E+00,7.80E+01,,,,,,572,1,78
573,5.42E+03,1.55E+04,1.00E+00,9.00E+00,,,,,,573,1,9
574,5.42E+03,1.55E+04,4.00E+00,9.00E+00,,,,,,574,4,9
575,5.42E+03,1.55E+04,1.00E+00,1.40E+01,,,,,,575,1,14
576,5.43E+03,1.55E+04,2.00E+00,9.00E+00,,,,,,576,2,9
577,5.43E+03,1.55E+04,2.00E+00,7.00E+00,,,,,,577,2,7
578,5.43E+03,1.55E+04,2.00E+00,0.00E+00,,,,,,578,2,0
579,5.43E+03,1.55E+04,2.00E+00,0.00E+00,,,,,,579,2,0
580,5.43E+03,1.55E+04,0.00E+00,0.00E+00,,,,,,580,0,0
581,5.44E+03,1.55E+04,3.00E+00,8.00E+00,,,,,,581,3,8
582,5.44E+03,1.56E+04,3.00E+00,1.20E+01,,,,,,582,3,12
583,5.44E+03,1.56E+04,2.00E+00,0.00E+00,,,,,,583,2,0
584,5.44E+03,1.56E+04,2.00E+00,0.00E+00,,,,,,584,2,0
585,5.45E+03,1.56E+04,3.00E+00,0.00E+00,,,,,,585,3,0
586,5.45E+03,1.56E+04,3.00E+00,1.00E+00,,,,,,586,3,1
587,5.45E+03,1.56E+04,3.00E+00,1.70E+01,,,,,,587,3,17
588,5.45E+03,1.56E+04,3.00E+00,6.00E+00,,,,,,588,3,6
589,5.46E+03,1.56E+04,3.00E+00,0.00E+00,,,,,,589,3,0
590,5.46E+03,1.56E+04,3.00E+00,0.00E+00,,,,,,590,3,0
591,5.46E+03,1.56E+04,2.00E+00,0.00E+00,,,,,,591,2,0
592,5.47E+03,1.56E+04,3.00E+00,1.40E+01,,,,,,592,3,14
593,5.47E+03,1.56E+04,2.00E+00,4.50E+01,,,,,,593,2,45
594,5.47E+03,1.57E+04,2.00E+00,7.00E+00,,,,,,594,2,7
595,5.47E+03,1.57E+04,3.00E+00,1.80E+01,,,,,,595,3,18
596,5.47E+03,1.57E+04,1.00E+00,1.30E+01,,,,,,596,1,13
597,5.48E+03,1.57E+04,5.00E+00,1.40E+01,,,,,,597,5,14
598,5.48E+03,1.57E+04,1.00E+00,3.80E+01,,,,,,598,1,38
599,5.48E+03,1.58E+04,3.00E+00,2.40E+01,,,,,,599,3,24
600,5.48E+03,1.58E+04,1.00E+00,0.00E+00,,,,,,600,1,0
601,5.48E+03,1.58E+04,1.00E+00,4.00E+00,,,,,,601,1,4
602,5.49E+03,1.58E+04,1.00E+00,7.00E+00,,,,,,602,1,7
603,5.49E+03,1.58E+04,1.00E+00,0.00E+00,,,,,,603,1,0
604,5.49E+03,1.58E+04,4.00E+00,2.00E+00,,,,,,604,4,2
605,5.49E+03,1.58E+04,3.00E+00,3.80E+01,,,,,,605,3,38
606,5.49E+03,1.58E+04,1.00E+00,1.60E+01,,,,,,606,1,16
607,5.50E+03,1.58E+04,1.00E+00,1.20E+01,,,,,,607,1,12
608,5.50E+03,1.59E+04,2.00E+00,2.20E+01,,,,,,608,2,22
609,5.50E+03,1.59E+04,2.00E+00,1.40E+01,,,,,,609,2,14
610,5.50E+03,1.59E+04,3.00E+00,0.00E+00,,,,,,610,3,0
611,5.50E+03,1.59E+04,1.00E+00,0.00E+00,,,,,,611,1,0
612,5.51E+03,1.59E+04,4.00E+00,1.80E+01,,,,,,612,4,18
613,5.51E+03,1.59E+04,2.00E+00,1.90E+01,,,,,,613,2,19
614,5.51E+03,1.59E+04,2.00E+00,1.60E+01,,,,,,614,2,16
615,5.51E+03,1.59E+04,1.00E+00,7.00E+00,,,,,,615,1,7
616,5.52E+03,1.59E+04,3.00E+00,0.00E+00,,,,,,616,3,0
617,5.52E+03,1.59E+04,2.00E+00,0.00E+00,,,,,,617,2,0
618,5.52E+03,1.59E+04,3.00E+00,6.00E+00,,,,,,618,3,6
619,5.52E+03,1.60E+04,1.00E+00,1.70E+01,,,,,,619,1,17
620,5.53E+03,1.60E+04,4.00E+00,2.90E+01,,,,,,620,4,29
621,5.53E+03,1.60E+04,3.00E+00,2.10E+01,,,,,,621,3,21
622,5.53E+03,1.60E+04,3.00E+00,0.00E+00,,,,,,622,3,0
623,5.53E+03,1.60E+04,1.00E+00,0.00E+00,,,,,,623,1,0
624,5.53E+03,1.60E+04,1.00E+00,1.00E+00,,,,,,624,1,1
625,5.53E+03,1.60E+04,0.00E+00,1.50E+01,,,,,,625,0,15
626,5.53E+03,1.60E+04,0.00E+00,1.30E+01,,,,,,626,0,13
627,5.53E+03,1.61E+04,0.00E+00,2.80E+01,,,,,,627,0,28
628,5.53E+03,1.61E+04,1.00E+00,1.00E+01,,,,,,628,1,10
629,5.53E+03,1.61E+04,0.00E+00,0.00E+00,,,,,,629,0,0
630,5.54E+03,1.61E+04,2.00E+00,0.00E+00,,,,,,630,2,0
631,5.54E+03,1.61E+04,1.00E+00,0.00E+00,,,,,,631,1,0
632,5.54E+03,1.61E+04,0.00E+00,1.50E+01,,,,,,632,0,15
633,5.54E+03,1.61E+04,1.00E+00,2.90E+01,,,,,,633,1,29
634,5.54E+03,1.61E+04,0.00E+00,2.80E+01,,,,,,634,0,28
635,5.54E+03,1.62E+04,0.00E+00,1.90E+01,,,,,,635,0,19
636,5.54E+03,1.62E+04,0.00E+00,1.90E+01,,,,,,636,0,19
637,5.54E+03,1.62E+04,1.00E+00,1.90E+01,,,,,,637,1,19
638,5.54E+03,1.62E+04,1.00E+00,2.00E+00,,,,,,638,1,2
639,5.54E+03,1.62E+04,2.00E+00,0.00E+00,,,,,,639,2,0
640,5.54E+03,1.62E+04,0.00E+00,0.00E+00,,,,,,640,0,0
641,5.54E+03,1.62E+04,0.00E+00,3.00E+00,,,,,,641,0,3
642,5.54E+03,1.62E+04,0.00E+00,2.10E+01,,,,,,642,0,21
643,5.54E+03,1.62E+04,1.00E+00,1.80E+01,,,,,,643,1,18
644,5.54E+03,1.63E+04,1.00E+00,1.60E+01,,,,,,644,1,16
645,5.54E+03,1.63E+04,0.00E+00,1.80E+01,,,,,,645,0,18
646,5.54E+03,1.63E+04,0.00E+00,1.80E+01,,,,,,646,0,18
647,5.54E+03,1.63E+04,0.00E+00,1.40E+01,,,,,,647,0,14
648,5.55E+03,1.63E+04,2.00E+00,1.00E+00,,,,,,648,2,1
649,5.55E+03,1.63E+04,0.00E+00,0.00E+00,,,,,,649,0,0
650,5.55E+03,1.63E+04,0.00E+00,0.00E+00,,,,,,650,0,0
651,5.55E+03,1.63E+04,0.00E+00,1.20E+01,,,,,,651,0,12
652,5.55E+03,1.63E+04,1.00E+00,1.90E+01,,,,,,652,1,19
653,5.55E+03,1.64E+04,0.00E+00,1.40E+01,,,,,,653,0,14
654,5.55E+03,1.64E+04,0.00E+00,2.40E+01,,,,,,654,0,24
655,5.55E+03,1.64E+04,0.00E+00,1.60E+01,,,,,,655,0,16
656,5.55E+03,1.64E+04,1.00E+00,1.10E+01,,,,,,656,1,11
657,5.55E+03,1.64E+04,0.00E+00,1.90E+01,,,,,,657,0,19
658,5.55E+03,1.64E+04,1.00E+00,5.00E+00,,,,,,658,1,5
659,5.55E+03,1.65E+04,1.00E+00,1.70E+01,,,,,,659,1,17
660,5.55E+03,1.65E+04,1.00E+00,1.30E+01,,,,,,660,1,13
661,5.55E+03,1.65E+04,1.00E+00,4.00E+00,,,,,,661,1,4
662,5.55E+03,1.65E+04,0.00E+00,1.90E+01,,,,,,662,0,19
663,5.55E+03,1.65E+04,0.00E+00,1.60E+01,,,,,,663,0,16
664,5.55E+03,1.65E+04,0.00E+00,1.70E+01,,,,,,664,0,17
665,5.55E+03,1.65E+04,1.00E+00,2.10E+01,,,,,,665,1,21
666,5.55E+03,1.65E+04,1.00E+00,0.00E+00,,,,,,666,1,0
667,5.55E+03,1.66E+04,0.00E+00,1.10E+01,,,,,,667,0,11
668,5.56E+03,1.66E+04,1.00E+00,1.70E+01,,,,,,668,1,17
